pop	X	Y	tempPC1	tempPC2	precipPC1	precipPC2	flowPC1	flowPC2
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
PEL	572.507772	502.077025	1.352738163	-0.205936609	0.908755779	0.283831726	1.506607371	-0.657074512
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
GWY	607.400432	631.231558	1.654451199	0.148258572	2.589221966	0.376887757	0.687361839	1.241257235
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
DUM	668.192537	785.454061	1.710942054	-0.572556969	1.72237778	-0.403985499	0.953593526	1.150259267
